08/05/2024_18:47:51;0;63.4198659;10.3840007
08/05/2024_18:47:51;1;63.428218841552734;10.401595115661621
08/05/2024_18:47:51;2;63.42485046386719;10.378179550170898
08/05/2024_18:47:51;3;63.42692565917969;10.372825622558594
08/05/2024_18:47:51;4;63.428741455078125;10.37353515625
08/05/2024_18:47:51;5;63.428558349609375;10.381596565246582
08/05/2024_18:47:51;6;63.42711639404297;10.385842323303223
08/05/2024_18:47:51;7;63.42475509643555;10.38923454284668
08/05/2024_18:47:51;8;63.42439270019531;10.391802787780762
08/05/2024_18:47:51;9;63.42485809326172;10.399255752563477
08/05/2024_18:47:51;10;63.428287506103516;10.401212692260742
