12/04/2024_13:48:44;0;6.345132827758789e-06;1.043165111541748e-06
12/04/2024_13:48:44;1;6.344108200073242e-06;1.042260456085205e-06
12/04/2024_13:48:44;2;6.344108963012696e-06;1.0422684669494629e-06
12/04/2024_13:48:44;3;6.3441139221191405e-06;1.0422717094421386e-06
12/04/2024_13:48:44;4;6.344179153442383e-06;1.0422612190246582e-06
12/04/2024_13:48:44;5;6.34420280456543e-06;1.0422714233398438e-06
12/04/2024_13:48:44;6;6.344357299804687e-06;1.0422469139099122e-06
12/04/2024_13:48:44;7;6.344375610351563e-06;1.042137336730957e-06
12/04/2024_13:48:44;8;6.344384765625e-06;1.0421319007873536e-06
12/04/2024_13:48:44;9;6.344384765625e-06;1.0421238899230958e-06
12/04/2024_13:48:44;10;6.3444046020507815e-06;1.0421006202697754e-06
12/04/2024_13:48:44;11;6.34442367553711e-06;1.0420795440673828e-06
12/04/2024_13:48:44;12;6.34444694519043e-06;1.0420758247375488e-06
12/04/2024_13:48:44;13;6.3444660186767575e-06;1.042060661315918e-06
12/04/2024_13:48:44;14;6.3444877624511715e-06;1.0420371055603027e-06
12/04/2024_13:48:44;15;6.344497299194336e-06;1.0420175552368164e-06
12/04/2024_13:48:44;16;6.344549179077148e-06;1.0420092582702637e-06
12/04/2024_13:48:44;17;6.3445640563964845e-06;1.042014980316162e-06
12/04/2024_13:48:44;18;6.3445728302001955e-06;1.0420235633850097e-06
12/04/2024_13:48:44;19;6.3445926666259765e-06;1.0420584678649902e-06
12/04/2024_13:48:44;20;6.344613265991211e-06;1.0420693397521972e-06
12/04/2024_13:48:44;21;6.344639587402344e-06;1.0421052932739258e-06
12/04/2024_13:48:44;22;6.344677352905274e-06;1.042137336730957e-06
12/04/2024_13:48:44;23;6.344696426391602e-06;1.0421685218811036e-06
12/04/2024_13:48:44;24;6.3447322845458986e-06;1.0422048568725587e-06
12/04/2024_13:48:44;25;6.344743728637695e-06;1.0422291755676269e-06
12/04/2024_13:48:44;26;6.344756698608398e-06;1.0422311782836914e-06
12/04/2024_13:48:44;27;6.3447589874267574e-06;1.0422246932983399e-06
12/04/2024_13:48:44;28;6.344766235351562e-06;1.0422235488891602e-06
12/04/2024_13:48:44;29;6.3447673797607425e-06;1.0422314643859863e-06
12/04/2024_13:48:44;30;6.34478530883789e-06;1.0422346115112304e-06
12/04/2024_13:48:44;31;6.344790649414063e-06;1.0422518730163574e-06
12/04/2024_13:48:44;32;6.344792556762695e-06;1.04230375289917e-06
12/04/2024_13:48:44;33;6.3448108673095706e-06;1.042328929901123e-06
12/04/2024_13:48:44;34;6.344820404052734e-06;1.0423534393310547e-06
12/04/2024_13:48:44;35;6.344857788085937e-06;1.042516326904297e-06
12/04/2024_13:48:44;36;6.344874954223633e-06;1.0426401138305663e-06
12/04/2024_13:48:44;37;6.344875717163086e-06;1.0426640510559081e-06
12/04/2024_13:48:44;38;6.345133590698242e-06;1.043163299560547e-06
