06/05/2024_11:30:46;63.4352405;10.5705003
06/05/2024_11:30:49;63.4352304;10.5703548
06/05/2024_11:30:53;63.4352148;10.5701936
06/05/2024_11:30:56;63.4352092;10.5701352
06/05/2024_11:30:59;63.4352082;10.5701233
06/05/2024_11:31:02;63.435208;10.5701209
06/05/2024_11:31:05;63.435208;10.5701204
06/05/2024_11:31:09;63.4352081;10.5701202
06/05/2024_11:31:12;63.4352083;10.5701202
06/05/2024_11:31:15;63.4352084;10.57012
06/05/2024_11:31:18;63.4352086;10.5701199
06/05/2024_11:31:22;63.4352087;10.5701199
06/05/2024_11:31:25;63.4352089;10.5701198
06/05/2024_11:31:28;63.435209;10.5701196
06/05/2024_11:31:31;63.4352092;10.5701196
