24/04/2024_12:26:15;63.4367812;10.5023828
24/04/2024_12:26:19;63.43677;10.5024962
24/04/2024_12:26:23;63.4367445;10.502708
24/04/2024_12:26:28;63.4367166;10.5029296
24/04/2024_12:26:32;63.4366878;10.5031522
24/04/2024_12:26:36;63.4366596;10.5033757
24/04/2024_12:26:40;63.4366328;10.5035823
24/04/2024_12:26:44;63.4366053;10.5037886
24/04/2024_12:26:49;63.436576;10.5040126
24/04/2024_12:26:53;63.4365477;10.5042381
24/04/2024_12:26:57;63.4365193;10.5044438
24/04/2024_12:27:01;63.436489;10.5046664
24/04/2024_12:27:06;63.4364623;10.5048916
24/04/2024_12:27:10;63.4364368;10.5051161
24/04/2024_12:27:14;63.4364075;10.5053231
24/04/2024_12:27:18;63.436378;10.505528
24/04/2024_12:27:22;63.4363553;10.5056663
