24/04/2024_11:09:27;63.4364816;10.5067646
24/04/2024_11:09:32;63.436482;10.506712
24/04/2024_11:09:36;63.4364793;10.5066508
24/04/2024_11:09:41;63.4364781;10.5066098
24/04/2024_11:09:45;63.4364741;10.5065682
24/04/2024_11:09:49;63.4364729;10.5065254
24/04/2024_11:09:54;63.4364709;10.5064819
24/04/2024_11:09:58;63.4364698;10.5064418
24/04/2024_11:10:02;63.4364699;10.5063985
24/04/2024_11:10:06;63.4364699;10.5063585
24/04/2024_11:10:11;63.4364687;10.5063163
24/04/2024_11:10:15;63.4364673;10.5062736
24/04/2024_11:10:19;63.4364676;10.5062324
24/04/2024_11:10:24;63.4364659;10.5061915
24/04/2024_11:10:28;63.4364633;10.5061517
24/04/2024_11:10:32;63.4364611;10.5061099
24/04/2024_11:10:37;63.4364595;10.5060672
24/04/2024_11:10:41;63.436458;10.5060282
24/04/2024_11:10:45;63.4364567;10.5059844
24/04/2024_11:10:49;63.4364558;10.5059404
24/04/2024_11:10:53;63.4364545;10.5059001
24/04/2024_11:10:58;63.4364535;10.505857
24/04/2024_11:11:02;63.4364522;10.5058126
24/04/2024_11:11:06;63.4364507;10.5057696
24/04/2024_11:11:11;63.4364492;10.5057289
24/04/2024_11:11:15;63.4364483;10.5056861
24/04/2024_11:11:19;63.4364472;10.5056434
24/04/2024_11:11:24;63.4364456;10.5056005
24/04/2024_11:11:28;63.436444;10.5055573
24/04/2024_11:11:32;63.4364428;10.5055136
24/04/2024_11:11:37;63.4364411;10.5054707
24/04/2024_11:11:41;63.4364395;10.5054279
24/04/2024_11:11:44;63.4364387;10.505404
24/04/2024_11:11:48;63.4364387;10.5054017
24/04/2024_11:11:53;63.4364235;10.5053717
24/04/2024_11:11:57;63.4364099;10.505344
24/04/2024_11:12:00;63.436411;10.5053424
24/04/2024_11:12:04;63.4364166;10.5053442
24/04/2024_11:12:08;63.4364181;10.5053424
24/04/2024_11:12:13;63.436418;10.5053398
24/04/2024_11:12:17;63.4364178;10.5053407
