30/04/2024_12:26:44;63.4367034;10.3908453
30/04/2024_12:26:48;63.4366298;10.3908429
30/04/2024_12:26:51;63.4365604;10.3908418
30/04/2024_12:26:54;63.4364873;10.3908475
30/04/2024_12:26:57;63.4364182;10.3908562
30/04/2024_12:27:00;63.4363426;10.3908675
30/04/2024_12:27:04;63.4362655;10.3908796
30/04/2024_12:27:07;63.4361942;10.390891
30/04/2024_12:27:10;63.4361163;10.3909035
30/04/2024_12:27:13;63.436039;10.3909159
30/04/2024_12:27:16;63.4359681;10.3909286
30/04/2024_12:27:20;63.4359657;10.39095
30/04/2024_12:27:23;63.436038;10.3910254
30/04/2024_12:27:27;63.4361217;10.3910704
30/04/2024_12:27:30;63.4361959;10.3910555
30/04/2024_12:27:34;63.436271;10.3910411
30/04/2024_12:27:37;63.4363421;10.3910648
30/04/2024_12:27:41;63.4363836;10.3911842
30/04/2024_12:27:45;63.4364053;10.391307
30/04/2024_12:27:48;63.4364787;10.3913944
30/04/2024_12:27:51;63.4365371;10.391484
30/04/2024_12:27:54;63.4365634;10.3916438
30/04/2024_12:27:57;63.4365621;10.3917401
30/04/2024_12:28:01;63.4364938;10.3918075
30/04/2024_12:28:05;63.4364129;10.3918213
30/04/2024_12:28:08;63.4363433;10.3918328
30/04/2024_12:28:11;63.4362672;10.3918454
30/04/2024_12:28:14;63.4361896;10.3918584
30/04/2024_12:28:17;63.4361183;10.3918703
30/04/2024_12:28:20;63.4360402;10.3918834
30/04/2024_12:28:24;63.4359627;10.3918963
30/04/2024_12:28:27;63.4358844;10.3919093
30/04/2024_12:28:30;63.4358068;10.3919222
30/04/2024_12:28:33;63.4357521;10.3919372
30/04/2024_12:28:36;63.4357496;10.3920486
30/04/2024_12:28:40;63.4357353;10.3920963
30/04/2024_12:28:44;63.4356834;10.3921252
30/04/2024_12:28:47;63.4356039;10.3921635
30/04/2024_12:28:50;63.4355253;10.3922051
30/04/2024_12:28:54;63.4354513;10.3922466
30/04/2024_12:28:57;63.4353772;10.3922885
30/04/2024_12:29:00;63.4353018;10.3923314
30/04/2024_12:29:04;63.4352346;10.3924404
30/04/2024_12:29:07;63.4351854;10.3925741
30/04/2024_12:29:10;63.4351356;10.3927098
30/04/2024_12:29:13;63.4350863;10.3928444
30/04/2024_12:29:17;63.435064;10.3929046
30/04/2024_12:29:20;63.4350602;10.3929137
