07/05/2024_07:35:37;63.4242746;10.3952872
07/05/2024_07:35:40;63.4242737;10.3954702
07/05/2024_07:35:43;63.4242754;10.3956433
07/05/2024_07:35:47;63.4242812;10.3958071
07/05/2024_07:35:50;63.4243115;10.3959875
07/05/2024_07:35:53;63.4243675;10.3960863
07/05/2024_07:35:57;63.424428;10.3961937
07/05/2024_07:36:00;63.4244836;10.3962959
07/05/2024_07:36:03;63.424541;10.3964155
07/05/2024_07:36:07;63.4245497;10.3966142
07/05/2024_07:36:10;63.4245441;10.3967765
07/05/2024_07:36:13;63.4245383;10.396952
07/05/2024_07:36:16;63.4245338;10.3971269
07/05/2024_07:36:19;63.4245389;10.3972884
07/05/2024_07:36:22;63.42455;10.3974629
07/05/2024_07:36:26;63.4245805;10.3976237
07/05/2024_07:36:29;63.4246195;10.3977763
07/05/2024_07:36:32;63.4246615;10.3979397
07/05/2024_07:36:36;63.4247003;10.3980912
07/05/2024_07:36:39;63.4247359;10.3982316
07/05/2024_07:36:42;63.4247746;10.3983844
07/05/2024_07:36:45;63.4248131;10.3985364
07/05/2024_07:36:48;63.4248517;10.398689
07/05/2024_07:36:52;63.4248902;10.398841
07/05/2024_07:36:55;63.4249289;10.3989937
07/05/2024_07:36:58;63.4249693;10.3991434
07/05/2024_07:37:01;63.4250149;10.3992677
07/05/2024_07:37:05;63.425089;10.3994053
07/05/2024_07:37:08;63.425156;10.3994971
07/05/2024_07:37:11;63.4252168;10.3995854
07/05/2024_07:37:15;63.4252801;10.3997105
07/05/2024_07:37:18;63.4253376;10.3998284
07/05/2024_07:37:22;63.4254129;10.3999636
07/05/2024_07:37:25;63.4254755;10.4000443
07/05/2024_07:37:28;63.4255437;10.4001313
07/05/2024_07:37:32;63.4256116;10.4002178
07/05/2024_07:37:35;63.4256798;10.4003047
07/05/2024_07:37:38;63.4257455;10.4003995
07/05/2024_07:37:42;63.4257696;10.4006061
07/05/2024_07:37:45;63.425828;10.4006873
07/05/2024_07:37:49;63.4259066;10.4006842
07/05/2024_07:37:52;63.4259856;10.4006789
07/05/2024_07:37:55;63.4260637;10.4006748
07/05/2024_07:37:59;63.4261579;10.4007185
07/05/2024_07:38:02;63.4262314;10.4007802
07/05/2024_07:38:05;63.4262989;10.4008371
07/05/2024_07:38:09;63.4263727;10.4008962
07/05/2024_07:38:13;63.4264688;10.4008991
07/05/2024_07:38:16;63.4265474;10.4008854
07/05/2024_07:38:19;63.4266254;10.4008716
07/05/2024_07:38:22;63.4266973;10.4008598
07/05/2024_07:38:25;63.4267756;10.4008477
07/05/2024_07:38:29;63.4268563;10.4008837
07/05/2024_07:38:32;63.4269146;10.4010008
07/05/2024_07:38:35;63.4269721;10.4011198
07/05/2024_07:38:39;63.4270252;10.4012288
07/05/2024_07:38:42;63.4270287;10.4012361
07/05/2024_07:38:45;63.4270301;10.4012388
